iter	Logloss
0	0.6074488559
1	0.5449002708
2	0.5016401012
3	0.4626384995
4	0.4304086965
5	0.4067866776
6	0.3881476896
7	0.3740221737
8	0.3607884341
9	0.3522100033
10	0.3441947352
11	0.3381499037
12	0.3327473831
13	0.3287061063
14	0.3248624891
15	0.3213094729
16	0.3187653452
17	0.31543648
18	0.3132807161
19	0.3117628675
20	0.3093403893
21	0.3082623655
22	0.3072924386
23	0.3063454551
24	0.3052755625
25	0.3045421108
26	0.303807896
27	0.3031209811
28	0.3025986012
29	0.3020572078
30	0.3006138015
31	0.3000191559
32	0.2989673856
33	0.298377213
34	0.297625283
35	0.2972310264
36	0.296530676
37	0.2958785169
38	0.2955764816
39	0.2952923047
40	0.2948382885
41	0.2944806179
42	0.2941327742
43	0.2938119122
44	0.293468638
45	0.2932571968
46	0.2930600265
47	0.2925996339
48	0.2925280688
49	0.2922529065
50	0.2920827967
51	0.2917992316
52	0.2916875525
53	0.2914219533
54	0.2910487499
55	0.2909318517
56	0.2907351199
57	0.2904206568
58	0.2901685316
59	0.2900045272
60	0.289927027
61	0.2897074463
62	0.2896642804
63	0.2895104793
64	0.2894229401
65	0.2893202754
66	0.2891722355
67	0.2890494815
68	0.2888914851
69	0.2886758688
70	0.2885482657
71	0.2884271391
72	0.2882899298
73	0.2880778332
74	0.287913676
75	0.287733605
76	0.2876521774
77	0.287510505
78	0.2874511525
79	0.287336403
80	0.2872203478
81	0.2870686341
82	0.2866986193
83	0.2866039988
84	0.2864958606
85	0.2864057052
86	0.2862990064
87	0.2862165164
88	0.2860782319
89	0.2859483676
90	0.2858770756
91	0.285777798
92	0.2856486868
93	0.2855674055
94	0.285464836
95	0.2853711552
96	0.285277163
97	0.2851431167
98	0.2850610088
99	0.2849459998
100	0.284824439
101	0.2847228108
102	0.2846169849
103	0.2843527668
104	0.2842731597
105	0.284192084
106	0.2840126056
107	0.2839117757
108	0.2838457309
109	0.2837109571
110	0.2834540337
111	0.2833646771
112	0.2832895183
113	0.2831444004
114	0.2830955003
115	0.283026238
116	0.2829662066
117	0.2828799925
118	0.2828106855
119	0.2827542378
120	0.2827002205
121	0.2826355888
122	0.2825362027
123	0.2824498073
124	0.2823809926
125	0.2822016683
126	0.2821392881
127	0.2820751956
128	0.2820108439
129	0.2819670236
130	0.2818463903
131	0.2817904331
132	0.2816973326
133	0.2816123407
134	0.2815602858
135	0.2815272294
136	0.2814750753
137	0.2813060665
138	0.2812645176
139	0.2811729484
140	0.2811382434
141	0.2811001314
142	0.2810131948
143	0.2809418812
144	0.2808953487
145	0.2808506539
146	0.2808115109
147	0.2806730175
148	0.2805839481
149	0.2805168521
150	0.2804634316
151	0.2803988924
152	0.2803287189
153	0.2802817299
154	0.2802510452
155	0.2801365863
156	0.2800443057
157	0.2800009076
158	0.2799536935
159	0.2798575799
160	0.2798034023
161	0.2797159561
162	0.2796715549
163	0.2795998367
164	0.2795289221
165	0.2794780329
166	0.2793923864
167	0.2793171653
168	0.279271282
169	0.2792346179
170	0.2791836344
171	0.2791458443
172	0.2790885732
173	0.2789799764
174	0.2788848282
175	0.2788331189
176	0.2787955454
177	0.2787295219
178	0.2786893064
179	0.2786593279
180	0.2786051443
181	0.278569615
182	0.27853399
183	0.2784708892
184	0.2784309318
185	0.2784009765
186	0.278365658
187	0.2782724778
188	0.2782058376
189	0.2781355075
190	0.2780610436
191	0.2780306538
192	0.277999396
193	0.2778937781
194	0.277864001
195	0.2778342726
196	0.2777958591
197	0.2777725498
198	0.2777275645
199	0.2776829979
